Story ID,Increment,Title,UserStory,Business Value,Acceptance Criteria,Feature,Feedback on Uss,
US-OrderConfirm-06,Increment-1,Order - Order Status,I want the system to display Order Status,So that agent can view the current status of the order,"Possible Order Status: Confirmed, Closed, Opened,..",F1.8 - SC_F2_8//Only order creation without payment (No Payment_methods),"AY 31 OCT What are all planned statuses in use.
TCS18Nov - We are supporting only status which we got from API.Currently we are getting ""Holding confirmed"".
Amadeus needs to clarify for other order status.
1A 18Nov (MS): Following status codes will be available at the flight bound level at Order Creation:
Operational status: HK = confirmed, HL = waitlist, TK = schedule change confirmed, TL = schedule change waitlist, UN = unable to confirm not operating, UC = unable to confirm, HX = have cancelled, NO = no action taken.
At shopping time, the only status that can be returned is HL=waitlist",
US-OrderConfirm-07,Backlog,Order - OrderItem Status,I want the system to display OrderItem(s) Status of the Order,"So that agent can view the status of each item in the order - flight, seats, bags, meals,…","Possible Order Status: Confirmed, Closed,..",F1.8 - SC_F2_8//Only order creation without payment (No Payment_methods),"AY 31 OCT What are all planned statuses in use.
TCS18Nov - This is a backlog item.",
US-OrderConfirm-08,Backlog,Order Confirmation - Send,"As an agent, I want to have quick action buttons to print, email or SMS the order confirmation.
",So that I can easily choose the preferred communication method for the passenger,*The Agent should see the checkboxes to select multiple ways for sending itinerary information to the passenger,F1.13 - SC_F2_14//Notify_Order_Confirmation,"AY 31OCT Option needs to be available to use contact details in the order, or use some additional contact detail which is not visible in the order. A capability to send the confirmation to one or multiple customers in the order
TCS18Nov- This is a backlog item.",
US-OrderConfirm-09,Backlog,Order Confirmation - Print,"As an agent, I want to print the order details after successful booking.
",So that I can provide a copy of the travel information to the passenger,"*Agent can click on Print Order from order view page.
*System generates printable/PDF  with required PNR,Flight details, pax details and ancillary services if any.
*System allows selection of printer and print settings",F1.13 - SC_F2_14//Notify_Order_Confirmation,AY 31OCT ok,
US-OrderConfirm-10,Backlog,Order Confirmation - Email,"As an agent, I want to send the order confirmation via email to the passsenger.
",So that Passenger can receive their booking information via email,"*Agent can click on ""Send Email"" from the order view page,
*System auto-fills the email id, if available
*System provides an option to add or edit the email address
*System sends email itinerary and ancillary services if any",F1.13 - SC_F2_14//Notify_Order_Confirmation,AY 31OCT OK,
US-OrderConfirm-11,Backlog,Order Confirmation - SMS,"As an agent, I want to send the order confirmation via SMS to the passsenger.
",So that Passenger can receive their booking information via SMS,"*Agent can click on ""Send SMS"" from the order view page,
*System auto-fills the phone number, if available
*System provides an option to add or edit the phone number
*System sends SMS itinerary and ancillary services if any",F1.13 - SC_F2_14//Notify_Order_Confirmation,AY 31OCT OK,
Increment-2 US,,,,,,,,
US-Config-16,Increment-2,Configure- Configuration of SSRs by Category,"As a System Administrator, 
I want to maintain a configuration table that maps SSRs to their respective categories","So that SSRs can be easily configured, managed, and updated for different categories without code changes.","1. The system shall allow adding new SSR codes with their associated categories.
2. The system shall allow updating category details for existing SSR codes.
3. The system shall prevent duplicate SSR code entries.
4. The system shall allow deleting SSR code entries if no longer required.
5. The configuration table shall be accessible to authorized users only.
","F1.4-SC_F2_4//Search_ancillaries
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 26.11. What is the linkage between Product catalogue and Admin ui? Do we need to maintain same information in 2 places? Can we setup the categories for SC UI in Product catalogue?
TCS &1A12JAN: We retrieve data from the product catalog and configure the required data in the configuration to display on SCUI. Service center UI have capabilities to group and control the products are display or not. This is configurable by admin UI.

    ",
US-Config-17,Increment-2,Configure- Configuration to filter services for PTC,"As a System Administrator, 
I want to maintain a configuration table that maps eligible services to passenger type codes (PTCs)","So that agents can only offer relevant services for each passenger type (e.g., child, infant, adult), ensuring compliance and accuracy","1. The configuration table allows administrators to assign each ancillary/service to one or more PTCs (e.g., Adult, Child, Infant).
2. Only services mapped to the specified PTC are shown to agents.
3. The system ensures that services excluded for a PTC are never displayed or selectable for that passenger type.
4. Administrators can edit, add, or remove PTC mappings for services in the configuration table.
5.  The configuration supports real-time updates or updates on next system refresh.
","F1.4-SC_F2_4//Search_ancillaries
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 26.11. repeating the previous question. Should this information be defined & maintained in Service catalogue?

TCS &1A12JAN: We retrieve data from the product catalog and configure the required data in the configuration to display on SCUI. Service center UI have capabilities to group and control the products are display or not. This is configurable by admin UI.",
US-Config-18,Increment-2,Configure- Services Grouping Mechanism (Configurable),"As a System Administrator, 
I want the system to provide an ability to Group the Services logically",So that I can group the services logically under specific categories,"1. Logical Grouping
•	Services should be grouped at two levels: 
o	Category Level (e.g., Meals, Baggage, Additional Services)
o	Sub-category/Service Level (e.g., Extra Baggage, Heavy Baggage, Sports Equipment under Baggage)
•	Grouping logic should follow airline-defined configuration.

2. Configurable Logic
•	Admin should be able to configure: 
o	Categories and sub-categories.
o	Which services belong to which group.

3. Display Indicator Active/Inactive
•	Each service should have an Active/Inactive status.
•	If a service is Inactive, it should not be displayed on the UI.
•	Make the services disabled automatically if Category is disabled in quick access and custom view
•	Enable/disable the services individually when the category is enabled/disabled

4. Display Order
•	Ability to configure the order of categories and services.
•	UI should display services in the configured order.

5. Quantity & Capacity
•	Each service should have: 
o	Quantity selection (where applicable).
o	Maximum capacity limit (where applicable)
•	If maximum capacity is reached: 
o	Display “Service not available” message.
o	Disable further selection.
o	Refer to BR009, BR010

6. Offered Level
•	Services should be offered at: 
o	Bound level (specific flight segment).
o	Flight level.
•	UI should reflect the correct level based on configuration.","F1.4-SC_F2_4//Search_ancillaries
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 26.11 Same comment as above; linkage between Product Catalogue & Admin UI. Maintaining rules in 2 places makes the solution complicated.

TCS &1A12JAN: We retrieve data from the product catalog and configure the required data in the configuration to display on SCUI. Service center UI have capabilities to group and control the products are display or not. This is configurable by admin UI.",
US-RetrieveAnc-01,Increment-2,RetrieveAnc-  Retreive Ancillaries from catalogue,"As an Airline Agent,
I want to retrieve  all  ancillary services from the service catalogue for a given cart reference.",So that agents can view and select additional services relevant to their customer's booking.,"1. The system shall allow retreive all ancillaries using a valid Cart reference ID. 
2. The retreive results should display all available ancillaries from the service catalogue applicable to that cart.
3. Each ancillary must include type, description, price, Quota based on API.
4. The results should reflect eligibility based on cart details (e.g., passenger type, flight Id etc.).
5. If no ancillary services are available for the cart, the system should display a clear message:“No ancillary services exists”.

*Disclaimer: Error meesage will be covered in test scenarios.","F1.4-SC_F2_4//Search_ancillaries
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 26.11. Indicator whether a service is chargeable, not chargeable, excempted, included in Tier/ticket benefits should be visible. 
TCS 23Dec: Currently, we are displaying whatever comes from the API. We will review and discuss internally.

TCS&1A12Jan: Amadeus has confirmed that the benefits will reflect in price section  as part of response. there is no specific indicator the price change due to which  Tier/ticket benefits.

",
US-RetreiveAnc-02,Increment-2,RetreiveAnc - Group Ancillaries based on Category,"
I want Service Center UI should have the capability to Group ancillaries based on their categories.",so that I can easily view and manage related services together.,"1. Ancillaries shall be grouped under predefined categories (e.g. Baggage, Seat, Meals, Insurance, etc.).
 2. The system should display grouped ancillaries in a structured format.
3. Each ancillary must belong to at least one category.
4. The airline agent should be able to view all categories and their respective ancillaries.
5. Categories and their order should follow configuration defined by the airline.
","F1.4-SC_F2_4//Search_ancillaries
F1.9 - SC_F2_9//Special_Assistance,_Free_Services",AY 26.11. OK,
US-ViewAnc-01,Increment-2,ViewAnc -View Ancillaries grouped by category and pricing type ,"As an Airline Agent,
I want the system to display ancillary services grouped by category and separated into FREE and CHARGEABLE sections",So that I can easily view which services are included in the offer and which are  add-ons,"1. System displays all the available services grouped by category (Eg.  BAGGAGE, MEAL, LOUNGE etc)
2. System shall display the available services based on pricing category (FREE & CHARGEABLE)","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services
F1.6-SC_F2_6//Ancillary__Seatmap_(Display,_Select,_View_Price,_Add_per_Paxs,..)","AY 26.11 Please rephrase word PAID with CHARGEABLE. Information of Not chargeable, excempted, included in Tier/ticket benefits should be also here visible

TCS 23Dec: Currently, we are displaying whatever comes from the API. We will review and discuss internally. The term ‘Paid’ has been rephrased to ‘Chargeable’.

TCS&1A07DEC: Need to check with Ashwin.
TCS&1A12JAN: Amadeus has confirmed that the benefits will reflect in price section  as part of response. there is no specific indicator the price change due to which  Tier/ticket benefits.",
US-ViewAnc-02,Increment-2,ViewAnc - View the Ancillary/services part of the offer,"As an Airline Agent, 
I want the system to display the list of services that part of the selected offer",So that I can assist the passenger in making an informed decision. ,The system shall display the list of applicable ancillaries that are part of the selected offer. ,"F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services
F1.6-SC_F2_6//Ancillary__Seatmap_(Display,_Select,_View_Price,_Add_per_Paxs,..)","AY 26.11. Please clarify; does this mean. Is it  a summary of ancillaries that are ""selectable"" but yet not selected. 

TCS 23Dec: Yes.",
US-ViewAnc-03,Increment-2,ViewAnc - View the Price of Each Ancillary service,"As an Airline Agent, 
I want to view the applicable price of each Ancillary service from the catalogue",So that I  can accuratley inform passenger about pricing,"1. Each Ancillary should should display its corresponding price next to the service.
2. Should display correct currency and amount.
3. Any Ancillary without price should display as FREE ","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 26.11. OK.  Please add also indication why the price is free (Tier/ticket benefit etc). 
If non chargeable - word ok being FREE
If reason for being free is something else, additional information should be included e.g. Excempted, Included in ticket/tier benefit 
Would it be possible to have word FREE written in green.

TCS 23Dec: Currently, we are displaying in SCUI whatever we receive from API. We will show FREE as green once we start getting these infromation from API.
TCS07Dec: Need to check with Ashwin.
TCS&1A12JAN: Amadeus has confirmed that the benefits will reflect in price section  as part of response. there is no specific indicator the price change due to which  Tier/ticket benefits.",
US-ViewAnc-04,Increment-2,ViewAnc - View baggage services,"As an Airline Agent, 
I want to view a list of baggage allowance options by passenger type(PTC) and segment, with the price per baggage count.",so that I can clearly present and select the most suitable baggage option for each passenger,"1. The baggage options display as a list of available baggage services in baggage section.
2. List displays the corresponding price for the number of bags and passenger type.
3. Agents can select a baggage option directly from the list for each passenger and segment.
4. The total price for selected baggage is calculated and displayed.
5. When a selection is made, the choice is stored in the booking.
6. Prices fetched from service catalogue.","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 26.11. It seems that there is a difference between Acceptance criteria described here and the Wireframe that was presented. Please confirm which has the latest information.
TCS 23Dec: Wireframe has the latest information. 
User story and acceptance criteria updated.",
US-SelectAnc-01,Increment-2,SelectAnc - Select Ancillaries ,"As an Airline Agent,
I want to select one or more available ancillaries for a passenger's trip",So that I can offer passengers customized options based on their preference. ,"1. The system shall display all available ancillaries for the selected flight.
2. The user shall be able to view ancillary details such as name, description, and price.
3. The user shall be able to select one or more ancillaries.
4. The system shall update the total price dynamically based on selected ancillaries.
5. The system shall allow the user to deselect previously selected ancillaries.
6. Selected ancillaries shall be retained when proceeding to the next booking step.
7. The system shall validate availability before confirming ancillary selection.
8. Error message shall be displayed if an ancillary selection fails.
9. Screen should be responsive and aligned with UI guidelines.

","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 27NOV Visibility of Ancillary quota and status (as all are not autoconfirmed)
TCS 23Dec: If it is coming in API we will show that.",
US-SelectAnc-02,Increment-2,SelectAnc - Specify Ancillary Quantity  during selection,"As an Airline Agent,
I want to specify the quantity of each ancillary service ",So that the agent can assist passengers in purchasing the required quantity of ancillaries based on their travel needs.,"1. User can select multiple ancillaries and specify the quantity for each.
2. The system validates that the quantity entered is within allowed limits. 
3. The total quantity of each ancillary is reflected in the booking summary.
4. User can update or remove the quantity of an ancillary before confirming the booking.

*System allow to specify the required quantity for a service. By default the count is 1. 
*Some services are limited to one occurence per passenger and flight
use - OncePerPassengerPerFlight : true/false to identify such items
",F1.5-SC_F2_5//Display_&_Select_Ancillary,AY 27NOV OK ,
US-SelectAnc-04,Increment-2,SelectAnc - Select Paid/Free Ancillaries,"As an Airline Agent, 
I want to select both paid and free ancillaries from the available list.",So that I can offer tailored booking experience to passengers based on their preference,"1. The system shall display a list of available ancillaries (both paid and free).
2. Paid ancillaries shall clearly display their price.
3. Free ancillaries shall be marked as ""Free"".
4. User shall be able to select one or multiple ancillaries.
5. Total price shall be updated dynamically based on selected paid ancillaries.
6. User should be able to deselect ancillaries before proceeding.
7. Selection should be saved and carried forward to the next step.
","F1.5-SC_F2_5//Display_&_Select_Ancillary
F1.9 - SC_F2_9//Special_Assistance,_Free_Services","AY 27NOV Pls see the comments related wording and additional information of services being FREE (US-ViewAnc-03)
Pls Clarify the Saving process; does auto-save apply, what will happen if page is refreshed? Is part of the progress still saved?
TCS 23Dec: Need to check with Savitha and design team.
TCS&1A12JAN: Savitha to update
TCS 25 Feb: Cart ID will be remembered and already saved seat and services selection can be reconstructed after refresh. The selections that were not added to cart at the point of refresh will be lost.",
